Time	Fx	Fy	Fz	Mx	My	Mz
0.000000	-0.47998178	1.47971511	-0.00279956	-0.20299618	0.18627648	0.14084718
0.001000	-0.47998178	0.32870275	0.65492189	-0.20299618	0.48225111	-0.00714012
0.002000	0.17773965	0.32870275	-0.00279956	-0.20299618	-0.10969816	0.28883445
0.003000	-0.31555140	0.82199377	-0.66052049	-0.49897081	-0.10969816	0.21484083
0.004000	-0.31555140	0.82199377	-0.66052049	-0.64695805	-0.20835623	0.14084718
0.005000	0.01330918	0.49313310	0.98378259	-0.35098350	0.28493470	0.06685354
0.006000	0.01330918	0.82199377	0.65492189	-0.20299618	0.28493470	0.21484083
0.007000	0.17773965	0.65756345	-0.00279956	0.24096578	0.18627648	0.21484083
0.008000	0.01330918	0.49313310	0.32606116	0.53694022	-0.01103994	0.21484083
0.009000	-0.47998178	1.31528473	1.31264329	0.24096578	-0.20835623	0.21484083
0.010000	0.01330918	0.32870275	-0.00279956	-0.35098350	-0.01103994	-0.00714012
0.011000	0.17773965	0.82199377	0.32606116	-0.35098350	-0.10969816	0.21484083
0.012000	-0.31555140	0.98642403	0.65492189	-0.49897081	-0.10969816	0.14084718
0.013000	-0.31555140	0.65756345	1.31264329	-0.64695805	-0.20835623	0.14084718
0.014000	0.17773965	0.82199377	0.98378259	-0.35098350	-0.20835623	0.36282814
0.015000	-0.31555140	0.98642403	0.65492189	-0.05500886	-0.01103994	0.14084718
0.016000	-0.15112105	1.47971511	0.98378259	-0.49897081	-0.01103994	0.14084718
0.017000	0.01330918	0.82199377	0.65492189	-0.05500886	0.08761827	0.14084718
0.018000	0.34216976	0.82199377	-0.33166027	-0.05500886	-0.20835623	0.06685354
0.019000	-0.15112105	1.47971511	0.65492189	-0.49897081	-0.01103994	-0.00714012
0.020000	-0.31555140	0.65756345	0.32606116	0.09297836	0.08761827	0.14084718
0.021000	-0.15112105	0.65756345	1.64150405	-0.79494536	0.08761827	0.06685354
0.022000	0.01330918	0.82199377	0.98378259	-0.35098350	-0.20835623	0.14084718
0.023000	0.01330918	0.82199377	0.65492189	-0.64695805	-0.20835623	-0.00714012
0.024000	0.34216976	1.15085435	0.98378259	-0.64695805	-0.20835623	0.14084718
0.025000	0.67103046	1.15085435	0.65492189	-0.20299618	-0.20835623	0.06685354
0.026000	0.34216976	0.49313310	0.65492189	0.09297836	-0.20835623	0.06685354
0.027000	0.50660014	0.98642403	0.65492189	0.83291483	-0.10969816	0.06685354
0.028000	0.17773965	1.80857575	0.98378259	0.09297836	-0.01103994	-0.08113378
0.029000	0.34216976	1.80857575	0.98378259	-0.35098350	-0.01103994	-0.15512739
0.030000	0.17773965	0.98642403	2.29922485	-0.20299618	-0.20835623	-0.08113378
0.031000	-0.15112105	0.98642403	0.65492189	0.38895288	-0.01103994	-0.08113378
0.032000	-0.31555140	0.82199377	1.64150405	0.24096578	-0.30701452	-0.00714012
