Time	Fx	Fy	Fz	Mx	My	Mz
0.000000	1.06643641	-0.00912102	-1.15669334	0.00374189	0.29606181	0.05624718
0.001000	0.57314539	0.64860016	-0.49897191	-0.14424543	0.29606181	-0.09174012
0.002000	1.06643641	-0.33798173	0.81647092	-0.14424543	0.49337816	-0.01774645
0.003000	0.90200603	-0.50241208	-0.17011073	-0.14424543	0.19740361	-0.09174012
0.004000	0.73757571	-0.33798173	0.15874952	0.00374189	0.49337816	-0.01774645
0.005000	0.73757571	-0.17355138	-0.82783216	0.00374189	0.59203637	-0.01774645
0.006000	1.06643641	0.15530922	-0.49897191	-0.29223275	0.59203637	-0.01774645
0.007000	0.73757571	-0.50241208	1.14533114	-0.29223275	0.29606181	0.13024084
0.008000	0.57314539	-0.33798173	-0.49897191	-0.14424543	0.19740361	-0.01774645
0.009000	0.90200603	-0.50241208	-0.17011073	-0.14424543	0.49337816	0.35222176
0.010000	0.57314539	0.48416981	-1.48555362	0.00374189	0.09874541	-0.16573377
0.011000	1.39529705	-0.17355138	0.48761070	-1.03216922	0.00008722	-0.09174012
0.012000	1.06643641	-0.50241208	-1.48555362	0.00374189	0.59203637	0.05624718
0.013000	1.06643641	-0.17355138	-1.81441379	-0.14424543	0.29606181	-0.01774645
0.014000	1.06643641	-0.33798173	-1.15669334	-0.14424543	0.39471999	-0.16573377
0.015000	1.39529705	-0.33798173	-0.82783216	-0.14424543	0.00008722	0.20423448
0.016000	1.23086667	-0.50241208	-1.15669334	-0.29223275	0.29606181	-0.16573377
0.017000	0.73757571	0.48416981	-0.17011073	-0.29223275	0.09874541	-0.01774645
0.018000	0.90200603	-0.17355138	-0.17011073	0.00374189	0.09874541	-0.09174012
0.019000	0.90200603	-0.00912102	-1.48555362	0.00374189	0.39471999	-0.09174012
0.020000	0.73757571	-0.50241208	-1.48555362	0.15172911	0.39471999	0.20423448
0.021000	1.06643641	-0.33798173	-0.82783216	-0.14424543	0.59203637	-0.09174012
0.022000	0.73757571	-0.50241208	-0.82783216	0.00374189	0.39471999	0.05624718
0.023000	0.73757571	-0.66684234	-0.82783216	0.00374189	-0.09857097	0.05624718
0.024000	1.06643641	0.31973970	-1.15669334	-0.29223275	0.29606181	-0.16573377
0.025000	0.73757571	-0.17355138	-0.82783216	-0.58820730	0.09874541	-0.01774645
0.026000	0.07985439	0.15530922	-0.82783216	-0.44022003	0.29606181	-0.16573377
0.027000	0.73757571	-0.50241208	-0.49897191	-0.14424543	0.19740361	-0.01774645
0.028000	0.57314539	-0.00912102	-0.82783216	-0.29223275	0.09874541	0.05624718
0.029000	0.73757571	0.15530922	-0.49897191	0.00374189	0.09874541	0.05624718
0.030000	0.57314539	0.15530922	-1.48555362	-0.58820730	0.49337816	0.05624718
0.031000	0.57314539	-0.33798173	-1.81441379	-0.29223275	0.39471999	0.05624718
0.032000	0.73757571	0.31973970	-1.15669334	-0.44022003	0.19740361	0.05624718
0.033000	0.57314539	-0.00912102	-0.82783216	-0.14424543	0.19740361	0.20423448
0.034000	0.57314539	0.15530922	-1.15669334	-0.44022003	0.29606181	0.05624718
0.035000	0.07985439	0.31973970	-1.48555362	-0.29223275	0.19740361	-0.01774645
0.036000	0.24428475	-0.17355138	0.48761070	-0.14424543	0.39471999	-0.09174012
0.037000	0.73757571	0.15530922	-1.15669334	-0.29223275	0.29606181	0.05624718
0.038000	0.57314539	0.48416981	0.15874952	-0.44022003	0.69069457	-0.01774645
0.039000	0.40871507	0.48416981	-0.17011073	-0.29223275	0.19740361	-0.01774645
0.040000	0.40871507	-0.00912102	-0.82783216	-0.29223275	0.49337816	-0.16573377
0.041000	0.57314539	-0.33798173	0.81647092	-0.14424543	0.09874541	0.13024084
0.042000	0.57314539	-0.33798173	0.48761070	-0.29223275	0.19740361	-0.01774645
0.043000	0.24428475	-0.17355138	-1.48555362	-0.44022003	0.39471999	-0.09174012
0.044000	0.07985439	-0.83127266	-0.82783216	-0.44022003	0.39471999	0.35222176
0.045000	0.40871507	-0.50241208	-1.81441379	-0.14424543	0.29606181	0.42621544
0.046000	0.40871507	-0.33798173	-1.15669334	0.15172911	0.19740361	0.13024084
0.047000	0.57314539	-0.17355138	-0.49897191	-0.44022003	0.59203637	0.05624718
0.048000	0.24428475	-0.17355138	-0.49897191	-0.29223275	0.49337816	-0.09174012
0.049000	0.40871507	-0.00912102	0.15874952	-0.14424543	0.09874541	0.05624718
0.050000	0.07985439	0.64860016	0.81647092	-0.44022003	0.49337816	0.05624718
0.051000	0.24428475	-0.17355138	-0.17011073	-0.44022003	0.39471999	0.42621544
0.052000	0.40871507	-0.00912102	-1.15669334	0.29971641	0.59203637	0.20423448
0.053000	0.24428475	0.31973970	-1.48555362	-0.29223275	0.49337816	0.20423448
0.054000	0.07985439	-0.33798173	0.81647092	0.00374189	0.19740361	-0.01774645
0.055000	0.57314539	-0.50241208	-0.82783216	0.00374189	0.29606181	-0.01774645
0.056000	0.07985439	-0.33798173	-1.15669334	-0.29223275	0.59203637	0.35222176
0.057000	1.06643641	-0.33798173	0.48761070	-0.14424543	0.19740361	0.27822813
0.058000	0.07985439	-0.00912102	0.15874952	-0.14424543	0.39471999	0.13024084
0.059000	0.24428475	-0.50241208	0.48761070	-0.29223275	0.59203637	0.20423448
0.060000	0.07985439	0.31973970	-0.17011073	-0.29223275	0.39471999	0.35222176
0.061000	-0.24900626	-0.17355138	0.48761070	-0.44022003	0.59203637	0.20423448
0.062000	-0.08457591	-0.50241208	1.14533114	-0.14424543	0.39471999	0.35222176
0.063000	-0.24900626	-0.83127266	-0.17011073	0.00374189	0.49337816	0.20423448
0.064000	-0.41343656	0.48416981	-0.82783216	0.00374189	0.39471999	0.42621544
0.065000	-0.57786691	-0.17355138	0.15874952	0.00374189	0.29606181	0.27822813
0.066000	0.07985439	-0.17355138	-1.48555362	0.00374189	0.49337816	0.42621544
0.067000	0.07985439	-0.00912102	0.48761070	0.00374189	0.49337816	0.20423448
0.068000	-0.41343656	-0.33798173	0.48761070	0.00374189	0.69069457	0.27822813
